Track 0: 
Track 1: Piano
Time: 00:00:01.000, Note: 65, Velocity: 90
Time: 00:00:01.125, Note: 66, Velocity: 90
Time: 00:00:01.250, Note: 65, Velocity: 90
Time: 00:00:01.500, Note: 63, Velocity: 90
Time: 00:00:03.000, Note: 65, Velocity: 90
Time: 00:00:03.500, Note: 61, Velocity: 90
Time: 00:00:05.000, Note: 63, Velocity: 90
Time: 00:00:05.500, Note: 61, Velocity: 90
Time: 00:00:07.000, Note: 65, Velocity: 90
Time: 00:00:07.500, Note: 61, Velocity: 90
Time: 00:00:09.000, Note: 66, Velocity: 90
Time: 00:00:09.000, Note: 65, Velocity: 90
Time: 00:00:09.250, Note: 65, Velocity: 90
Time: 00:00:09.500, Note: 63, Velocity: 90
Time: 00:00:10.500, Note: 70, Velocity: 90
Time: 00:00:11.000, Note: 65, Velocity: 90
Time: 00:00:11.500, Note: 61, Velocity: 90
Time: 00:00:12.500, Note: 63, Velocity: 90
Time: 00:00:13.000, Note: 63, Velocity: 90
Time: 00:00:13.000, Note: 68, Velocity: 90
Time: 00:00:13.500, Note: 61, Velocity: 90
Time: 00:00:14.500, Note: 65, Velocity: 90
Time: 00:00:15.000, Note: 68, Velocity: 90
Time: 00:00:15.000, Note: 65, Velocity: 90
Time: 00:00:15.500, Note: 61, Velocity: 90
Time: 00:00:15.500, Note: 65, Velocity: 90
Time: 00:00:30.625, Note: 63, Velocity: 90
Time: 00:00:33.875, Note: 63, Velocity: 90
Time: 00:00:46.000, Note: 63, Velocity: 90
Time: 00:00:46.500, Note: 61, Velocity: 90
Time: 00:00:46.750, Note: 63, Velocity: 90
Time: 00:01:02.375, Note: 63, Velocity: 90
Time: 00:01:02.625, Note: 61, Velocity: 90
Time: 00:01:16.500, Note: 65, Velocity: 90
Time: 00:01:16.625, Note: 66, Velocity: 90
Time: 00:01:16.750, Note: 65, Velocity: 90
Time: 00:01:17.000, Note: 63, Velocity: 90
Time: 00:01:18.500, Note: 65, Velocity: 90
Time: 00:01:19.000, Note: 61, Velocity: 90
Time: 00:01:20.500, Note: 66, Velocity: 90
Time: 00:01:21.000, Note: 61, Velocity: 90
Time: 00:01:22.500, Note: 61, Velocity: 90
Time: 00:01:22.500, Note: 65, Velocity: 90
Time: 00:01:23.000, Note: 61, Velocity: 90
Time: 00:01:24.500, Note: 65, Velocity: 90
Time: 00:01:24.625, Note: 66, Velocity: 90
Time: 00:01:25.000, Note: 63, Velocity: 90
Time: 00:01:26.500, Note: 65, Velocity: 90
Time: 00:01:27.000, Note: 61, Velocity: 90
Time: 00:01:28.000, Note: 68, Velocity: 90
Time: 00:01:28.500, Note: 66, Velocity: 90
Time: 00:01:28.500, Note: 73, Velocity: 90
Time: 00:01:29.000, Note: 61, Velocity: 90
Time: 00:01:30.000, Note: 65, Velocity: 90
Time: 00:01:30.500, Note: 73, Velocity: 90
Time: 00:01:31.000, Note: 61, Velocity: 90
Time: 00:01:31.500, Note: 66, Velocity: 90
Time: 00:01:31.500, Note: 70, Velocity: 90
Time: 00:01:31.750, Note: 70, Velocity: 90
Time: 00:01:32.000, Note: 70, Velocity: 90
Time: 00:01:32.250, Note: 68, Velocity: 90
Time: 00:01:32.500, Note: 63, Velocity: 90
Time: 00:01:32.500, Note: 70, Velocity: 90
Time: 00:01:32.750, Note: 70, Velocity: 90
Time: 00:01:33.000, Note: 70, Velocity: 90
Time: 00:01:33.250, Note: 68, Velocity: 90
Time: 00:01:33.500, Note: 70, Velocity: 90
Time: 00:01:33.750, Note: 68, Velocity: 90
Time: 00:01:34.250, Note: 70, Velocity: 90
Time: 00:01:34.500, Note: 63, Velocity: 90
Time: 00:01:35.500, Note: 61, Velocity: 90
Time: 00:01:35.500, Note: 70, Velocity: 90
Time: 00:01:35.750, Note: 70, Velocity: 90
Time: 00:01:36.000, Note: 70, Velocity: 90
Time: 00:01:36.000, Note: 61, Velocity: 90
Time: 00:01:36.250, Note: 68, Velocity: 90
Time: 00:01:36.500, Note: 66, Velocity: 90
Time: 00:01:36.500, Note: 70, Velocity: 90
